,воронка продаж,,,,,,,доход на 1-го платящего,,,,,,,,,,на 1-го привлеченного,,,,финансовые метрики,,,,,,
,"поток 
пользователей 
или лидов","конверсия 
в регистрацию","число 
регистраций
или лидов","конверсия 
в нового 
покупателя","число
платящих","число 
оплат",,"маржа 
на 1-го 
платящего","в среднем 
клиент платит","маржа, 
прибыль, 
комиссия","издержки 
на каждой 
продаже","скидки
если они 
у вас есть","издержки 
на 1-й 
продаже","число оплат 
на 1-го платящего",стоимость платящего,"стоимость заказа
или оплаты",,"cтоимость 
привлечения
пользователя","доход, 
маржа на 1-го 
привлеченного","прибыль
на пользователя",,"чистая прибыль 
с потока пользователей","прибыль 
с потока пользователей",выручка,"доход 
с потока пользователей","расходы 
на привлечение
 пользователей"," издержки
на потоке пользователей","расходы в месяц 
ограниченные сверху"
,"Users 
or Leads Acqusition","Conv.
to regs
or lead","Regs
or lead","С1
conv
to buyer",Buyers,"Payments
",,"AMPPU
or CLTV",Av. Price,"Margin
or Commision","COGS
Cost of Goods Sold","Discounts
скидка","COGS
1st sale ","Av. Payment Count
or LifeTime","CAC
Customer Acquisition Costs","CPO or SPS
Cost per Order, Cost per Sale",,"CPUser
or CPLead","AMPU 
or LTV","AMPU−
CPUser",,Profit Net,Profit,Revenue,Gross Profit,"Acq. Costs
до продажи","COGS
total
после продажи","Fix Costs 
в месяц"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FlowWow,,,↓ контакты людей и заявки на цветочки,,,,,,,,,,,,,,,,,,,,,,,,,
покупатели цветов,36 812,,,"1,7032%",627,758,,  725 р., 3 000 р.,20%,80%,,,"1,21",  638 р.,  528 р.,,"  10,9 р.","  12,4 р.","  1,5 р.",,- 245 200 р., 54 800 р.,2 274 000 р., 454 800 р., 400 000 р.,1 819 200 р., 300 000 р.
   organic,17 038,,,"2,00%",341,409,,, 3 000 р.,20%,,,,"1,20",,,,  0 р.,,,,,,,,,,
   paid,19 774,,,"1,45%",286,349,,  732 р., 3 000 р.,20%,80%,,,"1,22",,,,  23 р.,"  15,9 р.",,,,,, 454 800 р.,,,
   партенрка,,,,,,,,,,,,,,,,,,,,,,,,,,,,
продавцы цветов партнеры,,,,,30,758,, 60 640 р., 3 000 р.,80%,20%,,,25,,,,,,,,,,,1 819 200 р.,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
